folder,file,extent
2,3_10,"-103.19246, 56.3349, -103.19246, 56.3349"
2,1_9,"17.0, 28.0, 17.0, 28.0"
2,2_13,"-115.0, -60.0, -115.0, -60.0"
2,1_8,"44.2145, 15.3551, 44.2145, 15.3551"
2,2_8,"-37.33333, -54.05, -37.33333, -54.05"
2,6_2,"-148.33722, 70.25528, -148.33722, 70.25528"
2,2_9,"-58.46667, -21.68333, -58.46667, -21.68333"
2,9_6,"72.0, -6.0, 72.0, -6.0"
2,5_14,"-81.6325433333, 40.5083766667, -80.0661633333, 41.3747683333"
2,5_13,"-75.975195, 44.45135, -73.57781, 45.41952"
2,5_12,"-78.80701, 34.2376175, -75.69003, 37.0185125"
2,5_11,"-71.952935, 41.4748133333, -69.782655, 44.26622"
2,5_10,"-84.21433, 39.24991, -83.0038625, 42.6034125"
2,2_0,"-40.75, -20.0, -40.75, -20.0"
2,2_1,"-60.5, -62.6, -60.5, -62.6"
2,2_2,"-65.11667, -9.63333, -65.11667, -9.63333"
2,13_9,"-87.04769, 29.7673666667, -83.27558, 33.8302516667"
2,13_8,"-89.42516, 43.06129, -87.9147933333, 48.44941"
2,6_5,"-167.55222, 68.2025, -167.55222, 68.2025"
2,13_1,"-100.29434, 39.130145, -96.862135, 44.436695"
2,13_0,"-96.17603, 41.2311733333, -92.0220933333, 46.356745"
2,13_3,"-100.75604, 30.9992, -96.785815, 35.4839766667"
2,13_2,"-95.21727, 72.00133, -95.21727, 72.00133"
2,13_5,"-91.73922, 35.04565, -89.72394, 38.6447025"
2,13_4,"-98.2165733333, 25.806092, -95.5242333333, 30.61098"
2,13_7,"-101.23802, 47.711445, -100.18766, 50.05905"
2,13_6,"-91.1716, 29.53022, -87.1660733333, 32.33626"
2,6_7,"-144.25221, 68.58407, -144.25221, 68.58407"
2,11_9,"106.2388, 38.48541, 106.2388, 38.48541"
2,11_5,"142.0, 75.0, 142.0, 75.0"
2,11_4,"101.9543, 2.697, 101.9543, 2.697"
2,11_3,"138.06389, 9.44611, 138.06389, 9.44611"
2,11_2,"124.38721, 7.09544, 124.38721, 7.09544"
2,11_0,"136.79229, 36.29927, 136.79229, 36.29927"
2,3_1,"-111.89732, 33.390125, -111.89732, 33.390125"
2,3_0,"-108.7901, 38.24138, -108.7901, 38.24138"
2,3_3,"-117.70223, 49.09983, -117.70223, 49.09983"
2,3_2,"-105.457196667, 39.77367, -104.947415, 40.12581"
2,3_4,"-124.407, 40.44013, -124.407, 40.44013"
2,3_7,"-106.85662, 28.83545, -106.85662, 28.83545"
2,3_6,"-122.478563333, 36.209865, -119.906353333, 38.8548"
2,3_9,"-118.429678, 33.60478, -117.66352, 34.10548"
2,3_8,"-120.08875, 36.01968, -120.08875, 36.01968"
